issue_year,country,name,country_id
Issue 1850,Austria,coat of arms drawing,1
Issue 1858,Austria,Franz Joseph,1
Issue 1860,Austria,Franz Joseph,1
Issue 1863,Austria,Double Eagle,1
Issue 1863,Austria,Double Eagle with a different centre,1
Issue 1867,Austria,Franz Joseph,1
Issue 1883,Austria,Double Eagle,1
Issue 1890,Austria,Franz Joseph,1
Issue 1891,Austria,Franz Joseph value number written on white background,1
Issue 1896,Austria,Franz Joseph,1
Issue 1899,Austria,Franz Joseph without paint stripes,1
Issue 1901,Austria,Franz Joseph with varnish stripe,1
Issue 1904,Austria,Franz Joseph with paint stripes,1
Issue 1905,Austria,Franz Joseph without paint stripes,1
Issue 1906,Austria,Franz Joseph without paint stripes,1
Issue 1908,Austria,Emeperors Birthday 60th,1
Issue 1910,Austria,Emeperors Birthday,1
Issue 1914,Austria,For war widow,1
Issue 1915,Austria,For war widow,1
Issue 1916,Austria,Emperors of Austria,1
Issue 1917/1919,Austria,Postage stamps Coat of arms,1
Merkur1916/1917,Austria,Newspaper stamps,1
Issue 1916/1917,Austria,Karl I.,1
Issue Newspaper Stamps 1851 / 1916,Austria,Newspaper Stamps,1
Issue 1918,Austria,Flugpost,1
