catalog_number,emission_id,name,country,photo_path_base
1,1,1 Kr,Austria,images/austria/1850-1918/1Kr1850.png
2,1,2 Kr,Austria,images/austria/1850-1918/2Kr1850.png
3,1,3 Kr,Austria,images/austria/1850-1918/3Kr1850.png
4,1,6 Kr,Austria,images/austria/1850-1918/6Kr1850.png
5,1,9 Kr,Austria,images/austria/1850-1918/9Kr1850.png
6,24,"0,6 Kr",Austria,
7,24,6 Kr,Austria,
8,24,30 Kr ,Austria,
9,24,6 Kr,Austria,
10,2,2 Kr,Austria,
11,2,3 Kr,Austria,
12,2,3 Kr ,Austria,
13,2,5 Kr,Austria,
14,2,10 Kr,Austria,
15,2,15 Kr,Austria,
16,24,1.05 Kr,Austria,
17,24,1.05 Kr,Austria,
18,3,2 Kr,Austria,
19,3,3 Kr,Austria,
20,3,5 Kr,Austria,
21,3,10 Kr,Austria,
22,3,15 Kr,Austria,
23,24,1.05 Kr,Austria,
24,4,2 Kr,Austria,
25,4,3 Kr,Austria,
26,4,5 Kr,Austria,
27,4,10 Kr,Austria,
28,4,15 Kr,Austria,
29,24,1.05 Kr,Austria,
30,4,2 Kr,Austria,
31,5,3 Kr,Austria,
32,5,5 Kr,Austria,
33,5,10 Kr,Austria,
34,5,15 Kr,Austria,
35,6,2 Kr,Austria,
36,6,3 Kr,Austria,
37,6,5 Kr,Austria,
38,6,10 Kr,Austria,
39,6,15 Kr,Austria,
40,6,25 Kr,Austria,
41,6,50 Kr,Austria,
42,24,1 Kr,Austria,
43,24,1/2 Kr,Austria,
44,7,2 Kr,Austria,
45,7,3 Kr,Austria,
46,7,5 Kr,Austria,
47,7,10 Kr,Austria,
48,7,20 Kr,Austria,
49,7,50 Kr,Austria,
50,8,1 Kr,Austria,
51,8,2 Kr,Austria,
52,8,3 Kr,Austria,
53,8,5 Kr,Austria,
54,8,10 Kr,Austria,
55,8,12 Kr,Austria,
56,8,15 Kr,Austria,
57,8,20 Kr,Austria,
58,8,24 Kr,Austria,
59,8,30 Kr,Austria,
60,8,50 Kr,Austria,
61,8,1 G,Austria,
62,8,2 G,Austria,
63,9,20 Kr,Austria,
64,9,24 Kr,Austria,
65,9,30 Kr,Austria,
66,9,50 Kr,Austria,
67,10,1 G,Austria,
68,10,2 G,Austria,
69,11,1 H,Austria,
70,11,2 H,Austria,
71,11,3 H,Austria,
72,11,5 H,Austria,
73,11,6 H,Austria,
74,11,10 H,Austria,
75,11,20 H,Austria,
76,11,25 H,Austria,
77,11,30 H,Austria,
78,11,40 H,Austria,
79,11,50 H,Austria,
80,11,60 H,Austria,
81,11,1 Kr,Austria,
82,11,2 Kr,Austria,
83,11,4 Kr,Austria,
84,12,1 H,Austria,
85,12,2 H,Austria,
86,12,3 H,Austria,
87,12,5 H,Austria,
88,12,6 H,Austria,
89,12,10 H,Austria,
90,12,20 H,Austria,
91,12,25 H,Austria,
92,12,30 H,Austria,
93,12,35 H,Austria,
94,12,40 H,Austria,
95,12,50 H,Austria,
96,12,60 H,Austria,
97,24,2 H,Austria,
98,24,6 H,Austria,
99,24,10 H,Austria,
100,24,20 H,Austria,
101,24,2 H,Austria,
102,24,6 H,Austria,
103,24,10 H,Austria,
104,24,20 H,Austria,
105,13,1 H,Austria,
106,13,2 H,Austria,
107,13,3 H,Austria,
108,13,5 H,Austria,
109,13,6 H,Austria,
110,13,10 H,Austria,
111,13,20 H,Austria,
112,13,25 H,Austria,
113,13,30 H,Austria,
114,13,35 H,Austria,
115,13,40 H,Austria,
116,13,50 H,Austria,
117,13,60 H,Austria,
118,13,72 H,Austria,
119,14,1 H,Austria,
120,14,2 H,Austria,
121,14,3 H,Austria,
122,14,5 H,Austria,
123,14,6 H,Austria,
124,14,10 H,Austria,
125,14,20 H,Austria,
126,14,25 H,Austria,
127,14,30 H,Austria,
128,14,35 H,Austria,
129,14,40 H,Austria,
130,14,50 H,Austria,
131,14,60 H,Austria,
132,14,72 H,Austria,
133,15,5 H,Austria,
134,15,10 H,Austria,
135,15,12 H,Austria,
136,15,20 H,Austria,
137,15,25 H,Austria,
138,15,30 H,Austria,
139,16,1 H,Austria,
140,16,2 H,Austria,
141,16,3 H,Austria,
142,16,5 H,Austria,
143,16,6 H,Austria,
144,16,10 H,Austria,
145,16,12 H,Austria,
146,16,20 H,Austria,
147,16,25 H,Austria,
148,16,30 H,Austria,
149,16,35 H,Austria,
150,16,50 H,Austria,
151,16,60 H,Austria,
152,16,72 H,Austria,
153,16,1 Kr,Austria,
154,16,2 Kr,Austria,
155,16,5 Kr,Austria,
156,16,10 Kr,Austria,
157,24,2 H,Austria,
158,24,6 H,Austria,
159,24,10 H,Austria,
160,24,20 H,Austria,
161,17,1 H,Austria,
162,17,2 H,Austria,
163,17,3 H,Austria,
164,17,5 H,Austria,
165,17,6 H,Austria,
166,17,10 H,Austria,
167,17,12 H,Austria,
168,17,20 H,Austria,
169,17,25 H,Austria,
170,17,30 H,Austria,
171,17,35 H,Austria,
172,17,50 H,Austria,
173,17,60 H,Austria,
174,17,1 Kr,Austria,
175,17,2 Kr,Austria,
176,17,5 Kr,Austria,
177,17,10 Kr,Austria,
178,18,5 H + (2 H),Austria,
179,18,10 H + (2 H),Austria,
180,19,3 H + 1 H,Austria,
181,19,5 H + 2 H,Austria,
182,19,10 H + 2 H,Austria,
183,19,20 H + 3 H,Austria,
184,19,35 H +3 H,Austria,
185,20,3 H,Austria,
186,20,5 H,Austria,
187,20,6 H,Austria,
188,20,10 H,Austria,
189,20,12 H,Austria,
190,20,15 H,Austria,
191,20,20 H,Austria,
192,20,25 H,Austria,
193,20,30 H,Austria,
194,20,40 H,Austria,
195,20,50 H,Austria,
196,20,60 H,Austria,
