stamp_id,photo_path_type,photo_path_type,description,type_name,color,paper,perforation,plate_flaw,catalog_price_superb **,catalog_price_extra_fine,catalog_price_very_fine *,catalog_price_fine,catalog_price_avg (*),catalog_price_poor,catalog_price_post_cover,,,,,
1,path_type1,,okrově žlutá,I,ochre yellow,handmade paper,hand-cut,-,,,980,,45,,198,,,,,
1,path_type2,,okrově žlutá,III,ochre yellow,handmade paper,hand-cut,-,,,980,,45,,198,,,,,
1,path_type1,,okrově žlutá,Ib,ochre yellow,machine paper,hand-cut,-,,,1185,,60,,178,,,,,
1,path_type1,,okrově žlutá,III,ochre yellow,machine paper,hand-cut,-,,,1185,,60,,178,,,,,
1,path_type1,,oranžově okrová,I,orange ochre,handmade paper,hand-cut,-,,,1065,,43,,217,,,,,
1,path_type1,,oranžově okrová,III,orange ochre,handmade paper,hand-cut,-,,,1065,,43,,217,,,,,
1,path_type1,,oranžová,I,orange,handmade paper,hand-cut,-,,,1381,,79,,236,,,,,
1,path_type1,,oranžová,III,orange,handmade paper,hand-cut,-,,,1381,,79,,236,,,,,
1,path_type1,,světle hnědooranžová,Ia,light brown-orange,handmade paper,hand-cut,-,,,1579,,118,,592,,,,,
1,path_type1,,hnědooranžová,Ia,brown-orange,handmade paper,hand-cut,-,,,2500,,200,,950,,,,,
1,path_type1,,tmavě hnědooranžová,Ia,dark brown-orange,handmade paper,hand-cut,-,,,3300,,315,,1150,,,,,
1,path_type1,,kadmiově žlutá,III,cadmium yellow,handmade paper,hand-cut,-,,,1150,,48,,195,,,,,
1,path_type1,,kadmiově žlutá,III,cadmium yellow,machine paper,hand-cut,-,,,1380,,80,,236,,,,,
1,path_type1,,chromově žlutá,III,chrome yellow,machine paper,hand-cut,-,,,790,,36,,138,,,,,
1,path_type1,,citronově žlutá,III,lemon yellow,machine paper,hand-cut,-,,,790,,36,,138,,,,,
1,path_type1,,zlato žlutá,Ib,golden yellow,machine paper,hand-cut,-,,,2368,,97,,296,,,,,
1,path_type1,,olivově žlutá,III,olive yellow,machine paper,hand-cut,-,,,,,315,,,,,,,
2,path_type1,,černá,I,Black,handmade paper,hand-cut,-,,,789,,40,,158,,,,,
2,path_type1,,černá,III,Black,handmade paper,hand-cut,-,,,789,,40,,158,,,,,
2,path_type1,,černá,IIIa,Black,machine paper,hand-cut,-,,,789,,28,,119,,,,,
2,path_type1,,černá,IIIb,Black,machine paper,hand-cut,-,,,789,,28,,119,,,,,
2,path_type1,,sytě černá,I,deep black,handmade paper,hand-cut,-,,,1020,,55,,190,,,,,
2,path_type1,,sytě černá,III,deep black,handmade paper,hand-cut,-,,,1020,,55,,190,,,,,
2,path_type1,,sytě černá,IIIa,deep black,machine paper,hand-cut,-,,,900,,32,,118,,,,,
